yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301606.5182002023,4242768.765724535,120.0,260081.12991756687,3658621.5084255347,-43641.861288932545,-15.094962255954297,745658.42964560247,5200662.54596247,4.066156,54.98717903119527,-26.335841028676633,1465912413,48.269867,4736989.973010632,126.0,125.99992784887478,-22.709904722694773,8.0
301605.8981182616,4242762.136778007,120.0,260080.59536478046,3658615.7943492816,-43651.79264575227,-15.094937876097617,745657.25996152381,5200654.355725713,4.066154,54.98717903119527,-26.484273885683109,1465912413,48.269867,4736982.510128422,116.0,115.99992723605837,-22.837901257764315,8.0
301606.0095459527,4242765.798150545,120.0,260080.7096237539,3658619.207261727,-43646.74933064478,-15.53974068429801,745657.18561315187,5200658.070012476,4.066152,54.98717306898559,-26.632770872550243,1465912413,48.269863,4736985.945505989,121.0,120.99992554860064,-22.965954684426833,8.0
301619.84181312565,4242783.445263362,120.0,260093.76908032488,3658650.342883814,-43644.915326693212,-43.116847167384094,745615.96491406183,5200632.001341104,4.066321,54.98680341289753,-14.086762732311479,1465912413,48.269615,4736965.350665903,118.0,117.99983857649192,-12.147341471820255,8.0
301619.3896706612,4242782.31966789,120.0,260093.16923814028,3658646.4189683036,-43641.835564372479,-38.001768682907326,745624.01343508123,5200639.657002253,4.066316,54.98687197800447,-14.457945922371175,1465912413,48.269661,4736971.740553285,122.0,121.99987031006484,-12.467411262019596,8.0
301611.8812970123,4242775.111069712,110.0,260086.3798213825,3658635.7748543904,-43646.154181762373,-30.329075411617158,745635.03357875522,5200643.769303041,4.066222,54.98697482578033,-21.436222875866388,1465912413,48.26973,4736974.608807015,119.0,118.99989185563192,-18.484913726984814,9.0
301608.47683731624,4242771.19159469,110.0,260083.25246735266,3658629.699522444,-43647.962498422246,-25.658747992092884,745641.83811689133,5200646.949019377,4.06618,54.98703742884219,-24.554164174622958,1465912413,48.269772,4736976.971192944,118.0,117.99990115751179,-21.173565634184342,9.0
301609.35908989585,4242765.804397962,90.0,260083.72124025165,3658620.9462744715,-43649.204675433459,-18.542090244889902,745652.38515741692,5200653.042328764,4.066197,54.987132824082764,-23.292102764455148,1465912413,48.269836,4736981.708212924,118.0,117.99993056860572,-20.085241322645743,9.0
301622.21353707503,4242773.884363526,100.0,260095.11608231874,3658632.2771910746,-43642.91915063659,-26.103602108313559,745641.7637201082,5200650.663298304,4.066362,54.98703146664359,-11.043004063081863,1465912413,48.269768,4736980.406564354,123.0,122.9999369819306,-9.5226123765532975,9.0
301621.6715224979,4242773.588371685,80.0,260094.66695886082,3658632.2789046424,-43643.834651702353,-26.548388696806676,745640.98756477493,5200649.46344378,4.066355,54.98702550444549,-11.562663972958667,1465912413,48.269764,4736979.364213131,122.0,121.99993422611257,-9.9707266391196754,10.0
301618.8351641138,4242778.707236031,320.0,260092.30772315207,3658637.911399791,-43638.500209022714,-28.661164468678276,745638.4412443199,5200651.749599139,4.066312,54.98699718401082,-14.754882897995246,1465912413,48.269745,4736981.68934211,127.0,126.99991849814285,-12.723447927361121,5.0
301624.16593904054,4242770.987919573,100.0,260096.90473469035,3658631.257281465,-43649.424695669462,-28.661127149677679,745637.15461536299,5200642.740358738,4.066391,54.98699718401082,-8.8901177865736152,1465912413,48.269745,4736973.480187269,116.0,115.99992934807649,-7.6661368024360854,9.0
