yglob,xglob,hdop,lambert93_yglob,lambert93_xglob,lambert93_zloc,yloc,lambert93_yloc,lambert93_zglob,long,lambert93_lat,xloc,time,lat,zglob,alt,zloc,lambert93_xloc,sat
301606.0462185987,4242762.126249973,120.0,260080.72307456366,3658615.7852707542,-43651.792645222915,-15.094938564078625,745657.25996093033,5200654.355725713,4.066156,54.98717903119527,-26.335799816000041,1465912413,48.269867,4736982.510128422,116.0,115.9999278496735,-22.70986919778079,8.0
301606.55889218213,4242771.432042419,120.0,260081.16494470523,3658623.806765994,-43637.888746945478,-15.094971046210375,745658.89752006507,5200665.822057173,4.066154,54.98717903119527,-26.484331908839813,1465912413,48.269867,4736992.958163516,130.0,129.99992723526793,-22.837951273060753,8.0
301606.38713089435,4242771.109730638,120.0,260081.03509788518,3658623.7857862543,-43638.804245515377,-15.539760197042504,745658.12136006262,5200664.622201404,4.066152,54.98717306898559,-26.632804214478043,1465912413,48.269863,4736991.915811385,129.0,128.99992554807977,-22.965983424808655,8.0
301620.07781465136,4242786.765016333,120.0,260093.97251197093,3658653.204487398,-43639.949644713721,-43.116881004412967,745616.54972384393,5200636.096440675,4.066321,54.98680341289753,-14.086773754410595,1465912413,48.269615,4736969.08209237,123.0,122.99983857565454,-12.147350972867571,8.0
301619.29527025175,4242780.991767887,120.0,260093.08786572074,3658645.274328818,-43643.821836884657,-38.001756752963111,745623.7795087914,5200638.0189610515,4.066316,54.98687197800447,-14.457941397286536,1465912413,48.269661,4736970.247981629,120.0,119.99987030966,-12.46740736146603,8.0
301612.258889426,4242780.422663167,110.0,260086.70530271498,3658640.3534011333,-43638.209093395446,-30.329113494500319,745635.969298176,5200650.321476086,4.066222,54.98697482578033,-21.436249712148921,1465912413,48.26973,4736980.579100051,127.0,126.99989185533096,-18.484936859691516,9.0
301608.42963879,4242770.527646018,110.0,260083.2117826691,3658629.127204964,-43648.955634340527,-25.658743963571332,745641.72115087858,5200646.129997119,4.06618,54.98703742884219,-24.554160332079334,1465912413,48.269772,4736976.224905827,117.0,116.99990115729867,-21.173562322001089,9.0
301609.45348722406,4242767.132293613,90.0,260083.80260976503,3658622.090906687,-43647.21840398683,-18.542096065520226,745652.61909274932,5200654.6803751895,4.066197,54.987132824082764,-23.292110054380451,1465912413,48.269836,4736983.200788646,120.0,119.99993056856266,-20.085247606504709,9.0
301621.88313260244,4242769.236723514,100.0,260094.8312767656,3658628.2709690235,-43649.871102148725,-26.103573427846321,745640.94495874259,5200644.930142919,4.066362,54.98703146664359,-11.042991966225756,1465912413,48.269768,4736975.182554857,116.0,115.99993698088562,-9.5226019492547493,9.0
301621.8131241825,4242775.580217577,80.0,260094.78901819195,3658633.99585722,-43640.85524387547,-26.548401197422145,745641.33846219233,5200651.920510194,4.066355,54.98702550444549,-11.562669401194441,1465912413,48.269764,4736981.603074205,125.0,124.99993422630139,-9.9707313182807411,10.0
301618.8351641138,4242778.707236031,320.0,260092.30772315207,3658637.911399791,-43638.500209022721,-28.66116446867828,745638.4412443199,5200651.749599139,4.066312,54.98699718401082,-14.754882897995246,1465912413,48.269745,4736981.68934211,127.0,126.99991849814285,-12.723447927361121,5.0
301624.4019440217,4242774.307663811,100.0,260097.10816885045,3658634.1188709857,-43644.459015668195,-28.661149642414074,745637.73944193823,5200646.835468011,4.066391,54.98699718401082,-8.8901247426359991,1465912413,48.269745,4736977.211621287,121.0,120.9999293474565,-7.6661427984872716,9.0
301626.39284220524,4242780.32779021,100.0,260099.0530609171,3658642.518663928,-43640.509170694277,-34.221063514615928,745629.85046080151,5200644.532124192,4.066412,54.98692265660132,-7.3311526735029489,1465912413,48.269695,4736975.749675325,124.0,123.99990388912275,-6.3218137188159744,8.0
301620.13643098343,4242782.355013807,140.0,260093.70819547467,3658644.9725792003,-43639.30254938337,-35.444234878346649,745628.15466309362,5200644.303854519,4.066326,54.986906260581016,-13.715572177555799,1465912413,48.269684,4736975.6817835355,125.0,124.99988668701057,-11.827240945829544,8.0
301626.4836827604,4242789.980674942,100.0,260099.47809532526,3658655.719377408,-43634.06845014554,-42.672141315478846,745617.91067471635,5200641.391393889,4.066404,54.98680937507827,-7.9250696406160586,1465912413,48.269619,4736973.855869464,129.0,128.99985218251888,-6.8339704532263568,9.0
301631.6287217835,4242780.695581762,100.0,260103.79173765137,3658645.9818841545,-43644.523833650048,-39.66973684548109,745621.19057231036,5200635.771817107,4.066482,54.98684961981065,-2.1345366602783677,1465912413,48.269646,4736968.3914533295,119.0,118.99987614261713,-1.8406593542677001,9.0
301619.10328105296,4242779.338026198,140.0,260092.90408923157,3658643.5919768265,-43645.885743223538,-37.556953205321022,745624.20477142744,5200636.7617526185,4.066315,54.986877940190574,-14.532173094674754,1465912413,48.269665,4736969.051474533,118.0,117.99987278008888,-12.531418142243638,8.0
301621.66120696533,4242783.9122614795,120.0,260095.07778165626,3658647.0854067616,-43638.076508538099,-36.778619628092798,745626.29405478551,5200643.980376021,4.066345,54.98688837401742,-12.305066299289628,1465912413,48.269672,4736975.539875099,126.0,125.9998819964531,-10.610932793802931,9.0
301620.41668962943,4242785.250404607,120.0,260094.0365305704,3658648.688379864,-43636.947515336738,-37.557008460878947,745625.25743876258,5200644.132938563,4.066327,54.986877940190574,-13.641344099247274,1465912413,48.269665,4736975.768047402,127.0,126.99987474325007,-11.763236353173852,9.0
301620.13299567375,4242783.353597193,130.0,260093.7599866012,3658646.603877346,-43639.069647374447,-36.778610457053588,745626.17709428724,5200643.161355256,4.066325,54.98688837401742,-13.789812810502138,1465912413,48.269672,4736974.793589144,125.0,124.99987896576933,-11.891262787306914,8.0
301628.8992770156,4242785.2244924335,130.0,260101.49275246548,3658650.656365268,-43639.325253663876,-41.004141563057466,745619.79782038566,5200638.724419154,4.066441,54.98683173326032,-5.1782749057612394,1465912413,48.269634,4736971.23468669,124.0,123.99986595236967,-4.4653447866076021,8.0
